admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName_en,admin3RefName_ar,admin3AltName1_en,admin3AltName1_ar,admin3AltName2_en,admin3AltName2_ar,date_,validOn,validTo
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Al Qabil Al Asfal,القابل الاسفل,YE110523,Al Qabil Al Asfal,القابل الاسفل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Al A'mas,الاعماس,YE110625,Al Amas,الاعماس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Jabal Hajjaj,جبل حجاج,YE110626,Jabal Hajjaj,جبل حجاج,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Bani Al Othmaniyyen,بني العثمانيين,YE110627,Bani Al Othmaniyyen,بني العثمانيين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Bani Al Harith,بني الحارث,YE110628,Bani Al Harith - As Saddah,بني الحارث - السده,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Dhamar,ذمار,YE20,Wusab As Safil,وصاب السافل,YE2007,Bakhish,باخش,YE200736,Bakhish,باخش,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Al Markham,المرخام,YE110629,Al Markham,المرخام,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Jabal Isam,جبل عصام,YE110630,Jabal Isam,جبل عصام,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Jabal Al Jabaali,جبل الجبالي,YE110631,Jabal Al Jabaali,جبل الجبالي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Al Arafah,العرافه,YE110632,Al Arafah,العرافه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Wadi Isam,وادي عصام,YE110633,Wadi Isam,وادي عصام,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Rub' Dhalmah,ربع ظلمه,YE110821,Rub Dhalmah,ربع ظلمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Kawman,كومان,YE110835,Kawman,كومان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,As Sahul,السحول,YE110721,As Sahul,السحول,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Jabal Amiqah,جبل عميقه,YE110822,Jabal Amiqah,جبل عميقه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Bani Ma'in,بني معين,YE110823,Bani Main,بني معين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Ash Sharaf,الشرف,YE110722,Ash Sharaf - Al Makhadir,الشرف - المخادر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Bani Ad Dahatin,بني الضاحتين,YE110824,Bani Ad Dahatin,بني الضاحتين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Saer,صائر,YE110825,Saer,صائر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Al Wat'ah,الوطئه,YE110836,Al Watah,الوطئه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Al Wadi,الوادي,YE110723,Al Wadi - Al Makhadir,الوادي - المخادر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Bid'ah,بضعه,YE110724,Bidah,بضعه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Dhari Othman,ذاري عثمان,YE110725,Dhari Othman,ذاري عثمان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,As Safi,الصفي,YE110726,As Safi,الصفي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Al Mahram,المحرم,YE110727,Al Mahram,المحرم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Jabal Khadra'a,جبل خضراء,YE110826,Jabal Khadraa,جبل خضراء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Al Mi'shar,المعشار,YE110728,Al Mishar - Al Makhadir,المعشار - المخادر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Naqil Al Oqab,نقيل العقاب,YE110827,Naqil Al Oqab,نقيل العقاب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Al Fara'i,الفراعي,YE110828,Al Farai,الفراعي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Al Salq,السلق,YE110829,Al Salq,السلق,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Mazariqah,المزارقه,YE110932,Al Mazariqah,المزارقه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Jabal Aqd,جبل عقد,YE110729,Jabal Aqd,جبل عقد,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Wadi Al Mi'qab,وادي المعقاب,YE110830,Wadi Al Miqab,وادي المعقاب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Al Ja'afirah,الجعافره,YE110831,Al Jaafirah - Hobeish,الجعافره - حبيش,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,Bani Sarhah,بني سرحه,YE110730,Bani Sarhah,بني سرحه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Qahzah,قحزه,YE110837,Qahzah,قحزه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Al Mushayriq,المشيرق,YE110838,Al Mushayriq,المشيرق,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,As Sadr,الصدر,YE110839,As Sadr,الصدر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Al Aridah,العارضه,YE110840,Al Aridah - Hobeish,العارضه - حبيش,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,An Nahyah,الناحيه,YE110841,An Nahyah,الناحيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Bani Shabib,بني شبيب,YE110842,Bani Shabib,بني شبيب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Radman,ردمان,YE1412,Faqa' Aal Awad,فاقع ال عوض,YE141223,Faqa Aal Awad,فاقع ال عوض,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Haqin,حقين,YE110921,Haqin,حقين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Bani Wa'il,بني وائل,YE110922,Bani Wail,بني وائل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Bani Al Fakhr,بني الفخر,YE110923,Bani Al Fakhr,بني الفخر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Ab'un,الابعون,YE110924,Al Abun,الابعون,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Halimah,حليمه,YE110925,Halimah,حليمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Yaris,يريس,YE110926,Yaris - Hazm Al Odayn,يريس - حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Bani Ali,بني على,YE110927,Bani Ali - Hazm Al Odayn,بني على - حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Bani Sulayman,بني سليمان,YE110928,Bani Sulayman - Hazm Al Odayn,بني سليمان - حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Ash Sha'awir,الشعاور,YE110929,Ash Shaawir,الشعاور,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,As Saydam,السيدم,YE110930,As Saydam,السيدم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Jabal Harim,جبل حريم,YE110931,Jabal Harim,جبل حريم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Ahkum,الاحكوم,YE110933,Al Ahkum - Hazm Al Odayn,الاحكوم - حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Bani As'ad,بني اسعد,YE110934,Bani Asad - Hazm Al Odayn,بني اسعد - حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Mujahadah,المجاهده,YE110935,Al Mujahadah - Hazm Al Odayn,المجاهده - حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Ma'idhah,المعيظه,YE110936,Al Maidhah,المعيظه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Ash Sharqi,الشرقي,YE110937,Ash Sharqi - Hazm Al Odayn,الشرقي - حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Asyur,الاصيور,YE110938,Al Asyur,الاصيور,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Aslum,الاسلوم,YE110939,Al Aslum,الاسلوم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Radman,ردمان,YE1412,Al Aghwal Al Olya,الاغوال العلياء,YE141224,Al Aghwal Al Olya,الاغوال العلياء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,Al Aj'um,الاجعوم,YE110940,Al Ajum,الاجعوم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,Al Mazahin,المزاحن,YE111021,Al Mazahin,المزاحن,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,Al Ahmul,الاهمول,YE111022,Al Ahmul - Far Al Odayn,الاهمول - فرع العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,Al Masil,المسيل,YE111023,Al Masil,المسيل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Odayn,العدين,YE1111,Shalf,شلف,YE111133,Shalf,شلف,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,Al Aqibah,العاقبه,YE111024,Al Aqibah,العاقبه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,Al Wazirah,الوزيره,YE111025,Al Wazirah,الوزيره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,Bani Yusuf,بني يوسف,YE111026,Bani Yusuf - Far Al Odayn,بني يوسف - فرع العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,Bani Ahmad wa Ath Thulth,بني احمد والثلث,YE111027,Bani Ahmad wa Ath Thulth,بني احمد والثلث,,,,,2019-02-01,2019-10-02,
