admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin2oldPcode,admin2RefName_en,admin2RefName_ar,admin2AltName1_en,admin2AltName1_ar,admin2AltName2_en,admin2AltName2_ar,date_,validOn,validTo
Yemen,اليمن,YE,Ibb,اب,YE11,Ba'dan,بعدان,YE1113,YE1113,Badan,بعدان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Sabrah,السبره,YE1114,YE1114,As Sabrah,السبره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Zinjibar,زنجبار,YE1210,YE1210,Zinjibar,زنجبار,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Khanfar,خنفر,YE1211,YE1211,Khanfar,خنفر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saiyani,السياني,YE1115,YE1115,As Saiyani,السياني,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Old City,صنعاء القديمه,YE1301,YE1301,Old City,صنعاء القديمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Dhi As Sufal,ذي السفال,YE1116,YE1116,Dhi As Sufal,ذي السفال,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Mudhaykhirah,مذيخره,YE1117,YE1117,Mudhaykhirah,مذيخره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a,صنعاء,YE23,Jihanah,جحانه,YE2316,YE2316,Jihanah,جحانه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Mashannah,المشنه,YE1118,YE1118,Al Mashannah,المشنه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Al Mahfad,المحفد,YE1201,YE1201,Al Mahfad,المحفد,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ma'rib,مارب,YE26,Bidbadah,بدبده,YE2605,YE2605,Bidbadah,بدبده,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Mudiyah,موديه,YE1202,YE1202,Mudiyah,موديه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Jayshan,جيشان,YE1203,YE1203,Jayshan,جيشان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Sana'a City Outskirts - Hamdan,ضواحي الامانة همدان,YE1319,,Sanaa City Outskirts - Hamdan,ضواحي الامانة همدان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Lawdar,لودر,YE1204,YE1204,Lawdar,لودر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Rassd,رصد,YE1206,YE1206,Rassd,رصد,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,At Taffah,الطفه,YE1407,YE1407,At Taffah,الطفه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Sarar,سرار,YE1207,YE1207,Sarar,سرار,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Al Wadi',الوضيع,YE1208,YE1208,Al Wadi,الوضيع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Ahwar,احور,YE1209,YE1209,Ahwar,احور,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Shu'ub,شعوب,YE1302,YE1302,Shuub,شعوب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,As Sawadiyah,السواديه,YE1411,YE1411,As Sawadiyah,السواديه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Azaal,ازال,YE1303,YE1303,Azaal,ازال,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Az Zahir,الزاهر,YE1405,YE1405,Az Zahir - Al Bayda,الزاهر - البيضاء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,As Safiyah,الصافيه,YE1304,YE1304,As Safiyah,الصافيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,As Sab'in,السبعين,YE1305,YE1305,As Sabin,السبعين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Dhi Na'im,ذي ناعم,YE1406,YE1406,Dhi Naim,ذي ناعم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Al Wehdah,الوحده,YE1306,YE1306,Al Wehdah,الوحده,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,At Tahrir,التحرير,YE1307,YE1307,At Tahrir,التحرير,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Ma'in,معين,YE1308,YE1308,Main,معين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Ath Thawrah,الثوره,YE1309,YE1309,Ath Thawrah,الثوره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Bani Al Harith,بني الحارث,YE1310,YE1310,Bani Al Harith,بني الحارث,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Radman,ردمان,YE1412,YE1412,Radman,ردمان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Sana'a City Outskirts -Sanhan wa Bani Bahlul,ضواحي الامانة سنحان وبني بهلول,YE1324,,Sanaa City Outskirts -Sanhan wa Bani Bahlul,ضواحي الامانة سنحان وبني بهلول,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Nu'man,نعمان,YE1401,YE1401,Numan,نعمان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Sabah,صباح,YE1417,YE1417,Sabah,صباح,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Nati',ناطع,YE1402,YE1402,Nati,ناطع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Maswarah,مسوره,YE1403,YE1403,Maswarah,مسوره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,As Sawma'ah,الصومعه,YE1404,YE1404,As Sawmaah,الصومعه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Mukayras,مكيراس,YE1408,YE1408,Mukayras,مكيراس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Al Bayda City,مدينة البيضاء,YE1409,YE1409,Al Bayda City,مدينة البيضاء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Al Bayda,البيضاء,YE1410,YE1410,Al Bayda,البيضاء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Rada',رداع,YE1413,YE1413,Rada,رداع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Al Quraishyah,القريشيه,YE1414,YE1414,Al Quraishyah,القريشيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Wald Rabi',ولدربيع,YE1415,YE1415,Wald Rabi,ولدربيع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Al Arsh,العرش,YE1416,YE1416,Al Arsh,العرش,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Mawza',موزع,YE1507,YE1508,Mawza,موزع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Ar Ryashyyah,الرياشيه,YE1418,YE1418,Ar Ryashyyah,الرياشيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,As Silw,الصلو,YE1513,YE1514,As Silw,الصلو,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Ash Sharyah,الشريه,YE1419,YE1419,Ash Sharyah,الشريه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Al Malajim,الملاجم,YE1420,YE1420,Al Malajim,الملاجم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Mawiyah,ماويه,YE1501,YE1501,Mawiyah,ماويه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Shar'ab As Salam,شرعب السلام,YE1502,YE1503,Sharab As Salam,شرعب السلام,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Shar'ab Ar Rawnah,شرعب الرونه,YE1503,YE1504,Sharab Ar Rawnah,شرعب الرونه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Maqbanah,مقبنه,YE1504,YE1505,Maqbanah,مقبنه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Al Makha,المخاء,YE1505,YE1506,Al Makha,المخاء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Dhubab,باب المندب,YE1506,YE1507,Dhubab,باب المندب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Jabal Habashi,جبل حبشي,YE1508,YE1509,Jabal Habashi,جبل حبشي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Mashr'ah Wa Hadnan,مشرعة وحدنان,YE1509,YE1510,Mashrah Wa Hadnan,مشرعة وحدنان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Sabir Al Mawadim,صبر الموادم,YE1510,YE1511,Sabir Al Mawadim,صبر الموادم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Al Misrakh,المسراخ,YE1511,YE1512,Al Misrakh,المسراخ,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Humaydat,الحميدات,YE1602,YE1602,Al Humaydat,الحميدات,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Dimnat Khadir,خدير,YE1512,YE1513,Dimnat Khadir,خدير,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Ash Shamayatayn,الشمايتين,YE1514,YE1515,Ash Shamayatayn,الشمايتين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Al Wazi'yah,الوازعيه,YE1515,YE1516,Al Waziyah,الوازعيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Hayfan,حيفان,YE1516,YE1517,Hayfan,حيفان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Al Mudhaffar,المظفر,YE1517,YE1518,Al Mudhaffar,المظفر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Al Qahirah,القاهره,YE1518,YE1519,Al Qahirah,القاهره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Salah,صاله,YE1519,YE1520,Salah,صاله,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,At Ta'iziyah,التعزيه,YE1520,YE1502,At Taiziyah,التعزيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Al Ma'afer,المعافر,YE1521,YE1521,Al Maafer,المعافر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Shabwah,شبوه,YE21,Markhah Al Olya,مرخة العليا,YE2108,YE2108,Markhah Al Olya,مرخة العليا,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Al Mawasit,المواسط,YE1522,YE1522,Al Mawasit,المواسط,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Sami',سامع,YE1523,YE1523,Sami,سامع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Khab wa Ash Sha'f,خب و الشعف,YE1601,YE1601,Khab wa Ash Shaf,خب و الشعف,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Matammah,المطمه,YE1603,YE1603,Al Matammah,المطمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Az Zahir,الزاهر,YE1604,YE1604,Az Zahir - Al Jawf,الزاهر - الجوف,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Hazm,الحزم,YE1605,YE1605,Al Hazm,الحزم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Mutun,المتون,YE1606,YE1606,Al Mutun,المتون,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Maslub,المصلوب,YE1607,YE1607,Al Maslub,المصلوب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Ghayl,الغيل,YE1608,YE1608,Al Ghayl,الغيل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Khalaq,الخلق,YE1609,YE1609,Al Khalaq,الخلق,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Barat Al Anan,برط العنان,YE1610,YE1610,Barat Al Anan,برط العنان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Rajuzah,رجوزه,YE1611,YE1611,Rajuzah,رجوزه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Kharab Al Marashi,خراب المراشى,YE1612,YE1612,Kharab Al Marashi,خراب المراشى,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Bakil Al Mir,بكيل المير,YE1701,YE1701,Bakil Al Mir,بكيل المير,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Harad,حرض,YE1702,YE1702,Harad,حرض,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Midi,ميدي,YE1703,YE1703,Midi,ميدي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Abs,عبس,YE1704,YE1704,Abs,عبس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Hayran,حيران,YE1705,YE1705,Hayran,حيران,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Al Jamimah,الجميمه,YE1708,YE1708,Al Jamimah,الجميمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Mustaba,مستباء,YE1706,YE1706,Mustaba,مستباء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Kushar,كشر,YE1707,YE1707,Kushar,كشر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Kuhlan Ash Sharaf,كحلان الشرف,YE1709,YE1709,Kuhlan Ash Sharaf,كحلان الشرف,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Aflah Ash Sham,افلح الشام,YE1710,YE1710,Aflah Ash Sham,افلح الشام,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Khayran Al Muharraq,خيران المحرق,YE1711,YE1711,Khayran Al Muharraq,خيران المحرق,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Aslam,اسلم,YE1712,YE1712,Aslam,اسلم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Hujjaylah,الحجيله,YE1811,YE1811,Al Hujjaylah,الحجيله,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Qafl Shammar,قفل شمر,YE1713,YE1713,Qafl Shammar,قفل شمر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Al Miftah,المفتاح,YE1716,YE1716,Al Miftah,المفتاح,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Aflah Al Yaman,افلح اليمن,YE1714,YE1714,Aflah Al Yaman,افلح اليمن,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Ash Shahil,الشاهل,YE1721,YE1721,Ash Shahil,الشاهل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Ku'aydinah,كعيدنه,YE1722,YE1722,Kuaydinah,كعيدنه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Al Mahabishah,المحابشه,YE1715,YE1715,Al Mahabishah,المحابشه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Wadrah,وضره,YE1723,YE1723,Wadrah,وضره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Al Maghrabah,المغربه,YE1717,YE1717,Al Maghrabah,المغربه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Kuhlan Afar,كحلان عفار,YE1718,YE1718,Kuhlan Afar,كحلان عفار,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Najrah,نجره,YE1726,YE1726,Najrah,نجره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Sharas,شرس,YE1719,YE1719,Sharas,شرس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Mabyan,مبين,YE1720,YE1720,Mabyan,مبين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Bani Qays,بني قيس الطور,YE1724,YE1724,Bani Qays,بني قيس الطور,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Ash shaghadirah,الشغادره,YE1725,YE1725,Ash shaghadirah,الشغادره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Bani Al Awam,بني العوام,YE1727,YE1727,Bani Al Awam,بني العوام,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Hays,حيس,YE1819,YE1819,Hays,حيس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Khukhah,الخوخه,YE1820,YE1820,Al Khukhah,الخوخه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Hajjah City,مدينة حجه,YE1728,YE1728,Hajjah City,مدينة حجه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Hajjah,حجه,YE1729,YE1729,Hajjah,حجه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hadramawt,حضرموت,YE19,Ash Shihr,الشحر,YE1915,YE1915,Ash Shihr,الشحر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hadramawt,حضرموت,YE19,Ghayl bin Yamin,غيل بن يمين,YE1916,YE1916,Ghayl bin Yamin,غيل بن يمين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hadramawt,حضرموت,YE19,Ghayl Bawazir,غيل باوزير,YE1917,YE1917,Ghayl Bawazir,غيل باوزير,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Washhah,وشحه,YE1730,YE1730,Washhah,وشحه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Az Zuhrah,الزهره,YE1801,YE1801,Az Zuhrah,الزهره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Alluhayah,اللحيه,YE1802,YE1802,Alluhayah,اللحيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Kamaran,كمران,YE1803,YE1803,Kamaran,كمران,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,As Salif,الصليف,YE1804,YE1804,As Salif,الصليف,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Qarah,قاره,YE1731,YE1731,Qarah,قاره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Munirah,المنيره,YE1805,YE1805,Al Munirah,المنيره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Shabwah,شبوه,YE21,As Sa'id,الصعيد,YE2112,YE2112,As Said,الصعيد,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Qanawis,القناوص,YE1806,YE1806,Al Qanawis,القناوص,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Mighlaf,المغلاف,YE1808,YE1808,Al Mighlaf,المغلاف,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Az Zaydiah,الزيديه,YE1807,YE1807,Az Zaydiah,الزيديه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Ad Dohi,الضحى,YE1809,YE1809,Ad Dohi,الضحى,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Bajil,باجل,YE1810,YE1810,Bajil,باجل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Shabwah,شبوه,YE21,Ataq,عتق,YE2113,YE2113,Ataq,عتق,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Bura',برع,YE1812,YE1812,Bura,برع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Shabwah,شبوه,YE21,Habban,حبان,YE2114,YE2114,Habban,حبان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Marawi'ah,المراوعه,YE1813,YE1813,Al Marawiah,المراوعه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Ad Durayhimi,الدريهمي,YE1814,YE1814,Ad Durayhimi,الدريهمي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,As Sukhnah,السخنه,YE1815,YE1815,As Sukhnah,السخنه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Mansuriyah,المنصوريه,YE1816,YE1816,Al Mansuriyah,المنصوريه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Bayt Al Faqih,بيت الفقيه,YE1817,YE1817,Bayt Al Faqih,بيت الفقيه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Jabal Ras,جبل راس,YE1818,YE1818,Jabal Ras,جبل راس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sa'dah,صعده,YE22,Qatabir,قطابر,YE2202,YE2202,Qatabir,قطابر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Hawak,الحوك,YE1821,YE1821,Al Hawak,الحوك,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Mina,الميناء,YE1822,YE1822,Al Mina,الميناء,,,,,2019-02-01,2019-10-02,
