admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Tall Meaayan Tall Kiri,تلمعيان,35231,Tall Meaayan Tall Kiri,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ouadi El-Haour,وادي الحور,35455,Ouadi El-Haour,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tall Aabbas Ech-Charqi,تل عباس الشرقي,35213,Tall Aabbas Ech-Charqi,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qsair Aakkar,القصير,35415,Qsair Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Haytla,هيتلا,35463,Haytla,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mazraat En-Nahriyeh,النهريه ,35486,Mazraat En-Nahriyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qleiaat Aakkar,القليعات,35243,Qleiaat Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aamriyet Aakkar,العمارية,35421,Aamriyet Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ghazayleh,الغزيله,35475,Ghazayleh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tleil,التليل,35459,Tleil,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kneisset Hnaider,كنيسة هنيدر,35515,Kneisset Hnaider,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bardeh,بردي,35408,Bardeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Biret Aakkar,البيره عكار,35416,Biret Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Msalla,مصلا,35451,Msalla,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hayssa,الحيصة,35221,Hayssa,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tall Aabbas El-Gharbi,تلعباس غربي,35211,Tall Aabbas El-Gharbi,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aain Ez-Zeit,عين الزيت,35427,Aain Ez-Zeit,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kafr,كفر الفتوح,35423,Kafr,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Charbila,شربيلا,35457,Charbila,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Khirbet Daoud Aakkar,خربة داوود,35417,Khirbet Daoud Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Saidnaya,السنديانة,35469,Saidnaya,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Haouchab,هوشب,35219,Haouchab,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qbaiyat Aakkar,القبيات,35487,Qbaiyat Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aain Tinta,عين تنتا,35435,Aain Tinta,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Koueikhat,الكويخات,35215,Koueikhat,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rihaniyet Aakkar,الريحانية,35467,Rihaniyet Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sammouniyeh,السمونيه,35227,Sammouniyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sfinet Ed-Draib,سفينة الدريب,35447,Sfinet Ed-Draib,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bsatine Aakkar,فسقين و عين اشما,35425,Bsatine Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qaabrine,قعبرين,35233,Qaabrine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Daghleh,الدغلة,35419,Daghleh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sindianet Zeidane,سنديانة زيدان,35411,Sindianet Zeidane,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mqaiteaa,المقيطع,35261,Mqaiteaa,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rmoul,رمول,35281,Rmoul,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Douair Aadouiyeh,دوير عدويه,35443,Douair Aadouiyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Khirbet Char,خربة شار,35431,Khirbet Char,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Khreibet Ej-Jindi,خريبة الجندي,35216,Khreibet Ej-Jindi,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Majdel Akkar,المجدل عكار,35128,Majdel Akkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hmaiss Aakkar,حميص,35470,Hmaiss Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Berbara Aakkar,برباره,35433,Berbara Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Deir Jannine,دير جنين,35441,Deir Jannine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hokr Etti,حكر قتة,35223,Hokr Etti,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Harra,كفرحره,35157,Kfar Harra,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Halba,حلبا,35111,Halba,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Melki Aakkar,كفرملكي,35234,Kfar Melki Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Knisseh,كنيسة,35465,Knisseh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Balde WaMazraatBaldeh,بلدي,35158,Balde WaMazraatBaldeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hedd,الهد,35169,Hedd,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aakkar El-Aatiqa,عكار العتيقة,35191,Aakkar El-Aatiqa,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aarqa,عرقا,35141,Aarqa,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tall Sebaal,تل سبعل,35247,Tall Sebaal,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Souaisset Aakkar,السويسة,35143,Souaisset Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Daouret Aakkar,الدوره,35126,Daouret Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Cheikh Mohammad,الشيخ محمد,35113,Cheikh Mohammad,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hayzouq,حيزوق,35139,Hayzouq,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kroum El-Aarab,كروم العرب,35119,Kroum El-Aarab,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Cheikh Taba Es-Sahl,الشيخ طابا السهل,35121,Cheikh Taba Es-Sahl,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Beino,بينو,35175,Beino,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Machha,مشحة,35137,Machha,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Nfisseh,النفيسة,35115,Nfisseh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qoubber Chamra,قبة شمرا,35269,Qoubber Chamra,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jdidet Ej-Joumeh,جديدة الجومه,35125,Jdidet Ej-Joumeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Semmaqli,سمقالي,35259,Semmaqli,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Marlaya Melhem,مار ليا ملحم,35255,Marlaya Melhem,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Dahr Laissine,ضهر ليسينه,35155,Dahr Laissine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Minyara,منيارة,35129,Minyara,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aaiyat,عيات,35185,Aaiyat,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Cheikh Taba,الشيخ طابا,35123,Cheikh Taba,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aamaret Aakkar,عماره,35265,Aamaret Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Beit Mellat,بيت ملات,35174,Beit Mellat,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zouarib,الزواريب,35127,Zouarib,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Idbil,عدبل,35117,Idbil,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aayoun Aakkar,العيون,35177,Aayoun Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Deir Dalloum,دير دلوم,35149,Deir Dalloum,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jebrayel,جبرائيل,35163,Jebrayel,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qboula,قبولا,35179,Qboula,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Borj Aakkar,البرج عكار,35183,Borj Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tallet Chattaha,شطاحة,35173,Tallet Chattaha,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tikrit,تكريت,35171,Tikrit,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ilat,ايلات,35145,Ilat,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aain Yaaqoub,عين يعقوب,35187,Aain Yaaqoub,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Karm Aasfour,كرم عصفور,35133,Karm Aasfour,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hakour,مشيلحة الحاكور,35131,Hakour,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chaqdouf,الشقدوف,35181,Chaqdouf,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qantarat Aakkar,القنطرة,35135,Qantarat Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bebnine,ببنين,35275,Bebnine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zouq El Hosniyeh,ذوق الحصينة,35151,Zouq El Hosniyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mazraat Beit Ghattas,بيت غطاس,35134,Mazraat Beit Ghattas,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bezbina,بزبينا,35189,Bezbina,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bqerzla,بقرزلا,35147,Bqerzla,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mar Touma,مار توما,35167,Mar Touma,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Ouadi El-Jamous,وادي الجاموس,35364,Ouadi El-Jamous,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zouq El-Moqachrine,ذوق المقشرين,35161,Zouq El-Moqachrine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rahbeh,رحبة,35357,Rahbeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Charbine El-Hermel,شربين,54127,Charbine El-Hermel,,,,,El Hermel, الهرمل,LB22,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zouq El-Hbalsa,ذوق الحبالصة,35153,Zouq El-Hbalsa,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mhammaret,المحمرة,35277,Mhammaret,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zouq El-Hadara,ذوق حدارة,35159,Zouq El-Hadara,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zouq Bhannine,ذوق بحنين,37291,Zouq Bhannine,,,,,El Minieh-Dennie,المنية الضنية,LB55,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Menneaa,ممنع,35371,Menneaa,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Houaich,الحويش,35322,Houaich,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Berqayel,برقايل,35314,Berqayel,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Majdala,مجدلا,35354,Majdala,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hmaireh Aakkar,الحميرة,35331,Hmaireh Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Dinbou,دنبو عين الذهب,35318,Dinbou,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tshea,تاشع,35356,Tshea,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qardaf,القرقف,35341,Qardaf,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rihaniyet-Miniyeh,ريحانيه  المنيه,37281,Rihaniyet-Miniyeh,,,,,El Minieh-Dennie,المنية الضنية,LB55,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Litige,,35002,Litige,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Litige,,35003,Litige,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qloud El-Baqieh,قلود الباقية,35317,Qloud El-Baqieh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hermel,هرمل,54111,Hermel,,,,,El Hermel, الهرمل,LB22,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Minie,المنيه,37271,Minie,,,,,El Minieh-Dennie,المنية الضنية,LB55,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Fnaydeq,النبي خالد,35353,Fnaydeq,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chane,شان,35320,Chane,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sayssouq,سيسوق,35311,Sayssouq,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
